YZ SGR      18 49 28.60 -16 43 22.9 0.9802  5.378 0.012 4.989 0.011 4.878 0.015 24
CN CEP      23 25 34.79 +64 47 25.4 0.9778  8.316 0.012 7.627 0.011 7.367 0.015 21
FN AQL      19 12 47.31 +03 33 26.4 0.9769  5.947 0.012 5.473 0.011 5.328 0.015 19
TX MON      06 50 52.27 -01 25 45.3 0.9396  8.576 0.012 8.102 0.011 7.959 0.015 22
AC MON      07 00 59.81 -08 42 32.3 0.9039  7.579 0.012 7.054 0.011 6.885 0.015 22
BK AUR      05 10 40.19 +49 41 15.3 0.9032  7.302 0.013 6.873 0.011 6.749 0.015 19
DL CAS      00 29 58.58 +60 12 43.1 0.9031  6.556 0.012 6.089 0.011 5.929 0.015 21
U VUL       19 36 37.73 +20 19 58.6 0.9026  4.515 0.012 4.074 0.011 3.928 0.015 19
W GEM       06 34 57.44 +15 19 49.6 0.8984  5.133 0.013 4.757 0.012 4.671 0.016 17
RX CAM      04 04 58.44 +58 39 35.4 0.8983  5.169 0.013 4.714 0.011 4.577 0.015 19
VY CYG      21 04 16.63 +39 58 20.1 0.8953  7.005 0.012 6.536 0.011 6.374 0.015 26
GH CYG      19 59 10.79 +29 27 02.7 0.8931  7.256 0.012 6.787 0.011 6.614 0.015 18
CD CAS      23 45 02.59 +63 00 13.9 0.8921  7.631 0.012 7.077 0.011 6.896 0.015 25
RS ORI      06 22 13.18 +14 40 41.2 0.8789  6.411 0.012 6.009 0.011 5.898 0.015 24
V1344 AQL   19 11 59.16 +04 21 17.6 0.8738  5.184 0.012 4.720 0.011 4.573 0.015 20
TZ MON      06 58 00.93 -00 22 33.4 0.8709  8.454 0.012 7.993 0.011 7.832 0.015 19
CK SCT      18 41 00.66 -06 05 49.9 0.8701  7.380 0.012 6.806 0.011 6.627 0.015 19
V0336 AQL   19 01 19.73 +00 08 49.2 0.8635  7.155 0.012 6.676 0.011 6.521 0.015 17
V0459 CYG   21 10 54.36 +49 08 31.4 0.8604  7.601 0.012 7.058 0.011 6.883 0.015 19
V0600 AQL   19 20 56.08 +08 33 22.1 0.8596  6.961 0.012 6.435 0.011 6.242 0.015 22
AK CEP      22 28 50.06 +58 12 39.3 0.8593  8.404 0.012 7.884 0.011 7.740 0.015 21
TW CMA      07 22 02.37 -14 19 05.5 0.8448  7.579 0.012 7.167 0.011 7.046 0.015 26
AO AUR      05 47 45.05 +32 00 52.7 0.8301  8.640 0.013 8.188 0.011 8.064 0.015 21
U SGR       18 31 53.32 -19 07 30.1 0.8290  4.516 0.013 4.088 0.011 3.949 0.016 24
V0495 CYG   20 15 58.32 +35 00 52.9 0.8276  7.105 0.012 6.526 0.011 6.287 0.015 23
AY SGR      18 23 19.15 -18 34 29.2 0.8175  7.122 0.012 6.518 0.011 6.299 0.015 25
AW PER      04 47 46.32 +36 43 22.1 0.8105  5.225 0.012 4.821 0.011 4.695 0.015 24
RR LAC      22 41 26.53 +56 25 58.1 0.8073  6.982 0.012 6.609 0.011 6.506 0.015 23
X VUL       19 57 28.60 +26 33 23.3 0.8007  5.915 0.012 5.412 0.011 5.231 0.015 27
RS CAS      23 37 16.04 +62 25 44.3 0.7991  6.767 0.012 6.212 0.011 6.004 0.015 21
CR CEP      22 46 24.79 +59 26 31.8 0.7947  6.641 0.012 6.084 0.011 5.909 0.015 22
VV CAS      01 51 07.01 +59 53 17.6 0.7929  8.325 0.013 7.868 0.011 7.734 0.015 21
V0538 CYG   21 37 28.12 +51 45 44.8 0.7867  7.795 0.012 7.294 0.011 7.136 0.015 23
FM AQL      19 09 15.98 +10 33 08.8 0.7863  5.664 0.012 5.198 0.011 5.044 0.015 23
MW CYG      20 12 22.83 +32 52 17.9 0.7749  6.692 0.012 6.194 0.011 6.021 0.018 23
FM CAS      00 14 28.23 +56 15 10.5 0.7641  7.141 0.012 6.736 0.011 6.619 0.015 23
RZ GEM      06 02 36.57 +22 14 02.9 0.7427  7.607 0.012 7.153 0.011 6.987 0.015 25
X LAC       22 49 03.17 +56 25 41.5 0.7408  6.506 0.012 6.128 0.011 6.007 0.015 21
SW CAS      23 07 10.07 +58 33 15.0 0.7357  7.410 0.012 6.971 0.011 6.838 0.015 22
CV MON      06 37 04.84 +03 03 50.2 0.7307  7.313 0.012 6.768 0.011 6.565 0.015 22
V1162 AQL   19 52 20.99 -11 22 00.6 0.7305  6.150 0.012 5.802 0.011 5.701 0.015 21
BG LAC      22 00 25.15 +43 26 43.3 0.7269  7.022 0.012 6.638 0.011 6.511 0.015 22
CR SER      18 10 02.13 -13 32 45.4 0.7244  7.335 0.012 6.746 0.011 6.520 0.015 20
V0386 CYG   21 14 40.42 +41 42 58.7 0.7208  6.359 0.012 5.793 0.011 5.560 0.015 18
BR VUL      19 46 35.18 +22 53 23.2 0.7158  7.713 0.012 7.209 0.011 7.042 0.015 28
V0514 CYG   20 46 12.53 +45 28 43.1 0.7075  7.637 0.012 6.998 0.011 6.737 0.015 24
V LAC       22 48 37.98 +56 19 17.4 0.6975  7.049 0.013 6.656 0.011 6.569 0.015 21
AS PER      04 19 46.84 +48 57 11.7 0.6966  6.934 0.013 6.465 0.011 6.295 0.015 18
CF CAS      23 58 17.96 +61 13 15.8 0.6880  8.595 0.012 8.114 0.011 7.937 0.015 34
VZ CYG      21 51 41.43 +43 08 02.6 0.6870  7.202 0.013 6.841 0.011 6.737 0.015 20
RY CMA      07 16 37.64 -11 29 14.3 0.6701  6.379 0.012 6.031 0.011 5.912 0.015 28
TV CMA      07 09 15.41 -13 47 09.9 0.6693  8.028 0.012 7.570 0.011 7.401 0.015 26
WW MON      06 33 37.18 +09 12 12.7 0.6686  9.971 0.014 9.495 0.012 9.370 0.016 17
XY CAS      00 49 53.26 +60 07 38.4 0.6534  7.746 0.012 7.325 0.011 7.194 0.015 19
V0402 CYG   20 09 07.76 +37 09 07.1 0.6400  7.811 0.012 7.400 0.011 7.285 0.015 23
Y LAC       22 09 02.92 +51 02 45.0 0.6359  7.631 0.012 7.299 0.011 7.219 0.015 21
SX PER      04 17 06.06 +41 43 54.5 0.6325  8.767 0.013 8.335 0.011 8.205 0.015 24
EP CYG      19 45 03.68 +31 19 50.9 0.6323 10.120 0.013 9.675 0.012 9.520 0.016 18
RZ CMA      07 21 21.58 -16 39 35.8 0.6289  7.545 0.012 7.167 0.011 7.005 0.015 25
X SCT       18 31 19.75 -13 06 29.4 0.6230  7.387 0.013 6.940 0.011 6.805 0.015 19
V0508 MON   06 47 09.40 +03 58 01.3 0.6163  8.643 0.012 8.266 0.011 8.174 0.015 18
MM PER      03 45 23.34 +48 05 00.6 0.6147  8.666 0.012 8.249 0.011 8.124 0.015 23
V0495 MON   06 37 03.38 -02 49 26.6 0.6124  9.834 0.012 9.339 0.011 9.222 0.015 24
SY CAS      00 15 09.81 +58 25 27.3 0.6097  7.830 0.012 7.438 0.011 7.325 0.015 27
ST TAU      05 45 03.16 +13 34 34.9 0.6058  6.283 0.013 5.893 0.011 5.784 0.016 18
TY MON      06 56 39.79 +00 11 24.1 0.6045  9.310 0.012 8.853 0.011 8.705 0.015 18
AA MON      06 57 23.77 -03 50 35.9 0.5953  9.729 0.013 9.186 0.012 8.989 0.015 22
CS ORI      06 07 25.46 +11 09 07.1 0.5899  9.344 0.013 8.943 0.011 8.828 0.016 25
Y AUR       05 28 39.23 +42 26 15.8 0.5865  7.664 0.012 7.276 0.011 7.151 0.015 29
SU CYG      19 44 48.73 +29 15 52.8 0.5850  5.652 0.012 5.380 0.011 5.307 0.015 32
AD GEM      06 43 07.51 +20 56 20.9 0.5784  8.468 0.012 8.140 0.011 8.066 0.015 24
RT AUR      06 28 34.06 +30 29 35.1 0.5713  4.246 0.012 3.977 0.011 3.920 0.015 23
SS SCT      18 43 43.50 -07 43 52.0 0.5648  6.299 0.012 5.918 0.011 5.818 0.015 22
AV TAU      05 45 44.91 +27 04 04.5 0.5582  9.195 0.013 8.635 0.011 8.441 0.015 22
V0335 AUR   05 42 29.25 +37 38 46.9 0.5332  9.869 0.013 9.386 0.012 9.232 0.016 22
AX AUR      05 46 50.81 +31 35 52.4 0.4838  9.936 0.012 9.479 0.011 9.320 0.015 18
BV MON      06 56 51.09 +04 30 58.3 0.4792  9.016 0.013 8.572 0.011 8.458 0.016 17
V0465 MON   07 08 09.31 -00 03 56.5 0.4335  8.770 0.012 8.429 0.011 8.354 0.015 22
BE MON      06 40 05.59 +07 36 21.0 0.4322  8.267 0.012 7.842 0.011 7.714 0.016 19
CEa+b CAS * 23 58 09.31 +61 12 49.2                                             33
U AQL     * 19 29 21.35 -07 02 38.7                                             19
