8 1001 54767.901   8.948 0.021 203 AAMon
6 1001 54768.014   9.634 0.017 203 AAMon
7 1001 54768.014   9.114 0.016 203 AAMon
8 1001 54768.014   8.949 0.021 203 AAMon
6 1001 54768.956   9.693 0.017 203 AAMon
7 1001 54768.956   9.128 0.016 203 AAMon
8 1001 54768.956   8.928 0.021 203 AAMon
6 1001 54547.007   7.387 0.014 109 AASer
7 1001 54547.007   6.709 0.013 109 AASer
8 1001 54547.007   6.436 0.016 109 AASer
6 1001 54574.933   7.714 0.015 109 AASer
7 1001 54574.933   6.884 0.013 109 AASer
8 1001 54574.933   6.590 0.016 109 AASer
6 1001 54584.935   7.421 0.014 109 AASer
7 1001 54584.935   6.633 0.013 109 AASer
8 1001 54584.935   6.373 0.016 109 AASer
6 1001 54624.931   7.672 0.015 109 AASer
7 1001 54624.931   6.801 0.013 109 AASer
8 1001 54624.931   6.529 0.016 109 AASer
6 1001 54627.887   7.714 0.015 109 AASer
7 1001 54627.887   6.934 0.013 109 AASer
8 1001 54627.887   6.615 0.016 109 AASer
6 1001 54629.784   7.654 0.015 109 AASer
7 1001 54629.784   6.921 0.013 109 AASer
8 1001 54629.784   6.614 0.016 109 AASer
6 1001 54661.702   7.715 0.015 109 AASer
7 1001 54661.702   6.930 0.013 109 AASer
8 1001 54661.702   6.666 0.017 109 AASer
6 1001 54667.743   7.397 0.014 109 AASer
7 1001 54667.743   6.663 0.013 109 AASer
8 1001 54667.743   6.453 0.016 109 AASer
6 1001 54724.709   7.532 0.014 109 AASer
7 1001 54724.709   6.682 0.013 109 AASer
8 1001 54724.709   6.411 0.016 109 AASer
6 1001 54725.637   7.596 0.015 109 AASer
7 1001 54725.637   6.730 0.013 109 AASer
8 1001 54725.637   6.455 0.016 109 AASer
6 1001 54726.586   7.632 0.015 109 AASer
7 1001 54726.586   6.776 0.013 109 AASer
8 1001 54726.586   6.491 0.016 109 AASer
6 1001 54731.656   7.727 0.015 109 AASer
7 1001 54731.656   6.949 0.013 109 AASer
8 1001 54731.656   6.669 0.017 109 AASer
6 1001 54734.609   7.424 0.014 109 AASer
7 1001 54734.609   6.737 0.013 109 AASer
8 1001 54734.609   6.491 0.016 109 AASer
6 1001 54735.627   7.418 0.014 109 AASer
