AC MON    2454488.805 0.96  7.772 0.014  7.214 0.013  7.013 0.017 0
AC MON    2454489.778 0.09  7.634 0.014  7.153 0.013  6.984 0.017 0
AC MON    2454490.772 0.21  7.525 0.014  7.066 0.013  6.895 0.017 0
AC MON    2454492.761 0.46  7.509 0.014  7.000 0.013  6.830 0.017 0
AC MON    2454512.705 0.95  7.755 0.014  7.199 0.013  7.043 0.017 0
AC MON    2454515.695 0.32  7.532 0.014  7.023 0.013  6.891 0.017 0
AC MON    2454520.616 0.93  7.760 0.014  7.194 0.013  7.020 0.017 0
AC MON    2454550.699 0.69  7.568 0.014  7.007 0.013  6.805 0.017 0
AC MON    2454560.597 0.92  7.751 0.014  7.176 0.013  6.973 0.017 0
AC MON    2454574.616 0.67  7.571 0.014  6.998 0.013  6.805 0.017 0
AC MON    2454575.612 0.80  7.645 0.014  7.070 0.013  6.869 0.017 0
AC MON    2454730.010 0.06  7.627 0.014  7.128 0.013  6.986 0.017 0
AC MON    2454738.978 0.18  7.498 0.014  7.053 0.013  6.872 0.017 0
AC MON    2454741.983 0.56  7.515 0.014  6.967 0.013  6.809 0.017 0
AC MON    2454748.957 0.43  7.441 0.014  6.941 0.013  6.808 0.017 0
AC MON    2454762.920 0.17  7.502 0.014  7.066 0.013  6.884 0.017 0
AC MON    2454764.002 0.30  7.502 0.014  6.999 0.013  6.844 0.017 0
AC MON    2454765.918 0.54  7.518 0.014  6.994 0.013  6.801 0.017 0
AC MON    2454766.910 0.67  7.572 0.014  7.015 0.013  6.825 0.017 0
AC MON    2454767.910 0.79  7.647 0.014  7.068 0.013  6.891 0.017 0
AC MON    2454768.894 0.91  7.737 0.014  7.149 0.013  6.992 0.017 0
AD GEM    2454480.836 0.39  8.442 0.014  8.107 0.013  8.018 0.017 0
AD GEM    2454482.910 0.94  8.485 0.014  8.209 0.013  8.080 0.018 0
AD GEM    2454487.910 0.26  8.407 0.014  8.084 0.013  8.034 0.017 0
AD GEM    2454488.727 0.48  8.477 0.014  8.123 0.013  8.031 0.017 0
AD GEM    2454489.883 0.78  8.632 0.014  8.242 0.013  8.173 0.018 0
AD GEM    2454512.837 0.84  8.615 0.014  8.278 0.013  8.181 0.018 0
AD GEM    2454515.830 0.63  8.503 0.014  8.144 0.013  8.093 0.018 0
AD GEM    2454516.827 0.90  8.580 0.014  8.249 0.013  8.193 0.018 0
AD GEM    2454520.676 0.91  8.550 0.014  8.225 0.013  8.154 0.018 0
AD GEM    2454523.727 0.72  8.597 0.014  8.218 0.013  8.155 0.018 0
AD GEM    2454526.803 0.53  8.466 0.014  8.098 0.013  8.032 0.017 0
AD GEM    2454574.679 0.17  8.366 0.014  8.087 0.013  7.995 0.017 0
AD GEM    2454575.660 0.43  8.446 0.014  8.095 0.013  7.997 0.017 0
AD GEM    2454577.680 0.96  8.467 0.014  8.178 0.013  8.128 0.018 0
AD GEM    2454578.683 0.23  8.389 0.014  8.074 0.013  7.980 0.017 0
AD GEM    2454579.681 0.49  8.473 0.014  8.100 0.013  8.027 0.017 0
AD GEM    2454580.667 0.75  8.577 0.014  8.231 0.013  8.144 0.018 0
AD GEM    2454584.656 0.80  8.612 0.014  8.232 0.013  8.164 0.018 0
AD GEM    2454585.664 0.07  8.363 0.014  8.105 0.013  8.016 0.017 0
AD GEM    2454586.651 0.33  8.415 0.014  8.088 0.013  8.045 0.018 0
AD GEM    2454726.912 0.36  8.428 0.014  8.066 0.013  7.999 0.017 0
AD GEM    2454747.023 0.67  8.549 0.014  8.167 0.013  8.101 0.018 0
AD GEM    2454755.875 0.00  8.393 0.014  8.152 0.013  8.079 0.018 0
AD GEM    2454767.963 0.19  8.379 0.014  8.075 0.013  8.001 0.017 0
AK CEP    2454482.591 0.05  8.325 0.014  7.864 0.013  7.707 0.017 0
AK CEP    2454629.914 0.42  8.352 0.014  7.805 0.013  7.668 0.017 0
AK CEP    2454643.923 0.36  8.345 0.014  7.831 0.013  7.654 0.017 0
AK CEP    2454660.952 0.71  8.517 0.014  7.970 0.013  7.800 0.017 0
AK CEP    2454661.915 0.84  8.524 0.014  8.032 0.013  7.895 0.017 0
AK CEP    2454662.863 0.98  8.350 0.014  7.892 0.013  7.775 0.017 0
AK CEP    2454663.908 0.12  8.319 0.014  7.854 0.013  7.719 0.017 0
AK CEP    2454724.854 0.55  8.452 0.014  7.854 0.013  7.710 0.017 0
AK CEP    2454725.758 0.67  8.525 0.014  7.947 0.013  7.791 0.017 0
AK CEP    2454726.828 0.82  8.535 0.014  7.994 0.013  7.836 0.017 0
AK CEP    2454729.863 0.24  8.331 0.014  7.809 0.013  7.661 0.017 0
AK CEP    2454731.846 0.51  8.415 0.014  7.852 0.013  7.681 0.017 0
AK CEP    2454734.767 0.92  8.444 0.014  7.972 0.013  7.833 0.017 0
