  8 AS VUL    2454579.870  9.367 0.016  8.025 0.014  7.525 0.017
  8 AS VUL    2454580.862  9.353 0.016  8.024 0.014  7.547 0.017
  8 AS VUL    2454584.859  9.337 0.016  8.012 0.014  7.497 0.017
  8 AS VUL    2454585.863  9.343 0.016  7.995 0.013  7.471 0.017
  8 AS VUL    2454586.832  9.332 0.016  7.997 0.014  7.521 0.017
  8 AS VUL    2454611.852  9.290 0.016  7.918 0.013  7.379 0.017
  8 AS VUL    2454617.921  9.257 0.016  7.895 0.013  7.374 0.017
  8 AS VUL    2454620.853  9.260 0.016  7.901 0.013  7.325 0.017
  8 AS VUL    2454624.833  9.249 0.016  7.887 0.013  7.397 0.017
  8 AS VUL    2454629.815  9.237 0.016  7.898 0.013  7.323 0.017
  8 AS VUL    2454643.763  9.273 0.016  7.929 0.013  7.424 0.017
  8 AS VUL    2454661.832  9.352 0.016  7.990 0.013  7.513 0.017
  8 AS VUL    2454667.813  9.343 0.016  8.001 0.014  7.469 0.017
  8 AS VUL    2454729.712  9.628 0.017  8.281 0.014  7.683 0.017
  8 AS VUL    2454732.746  9.628 0.017  8.284 0.014  7.668 0.017
  8 AS VUL    2454739.650  9.608 0.017  8.265 0.014  7.684 0.017
  8 AS VUL    2454740.644  9.606 0.017  8.269 0.014  7.680 0.017
  8 AS VUL    2454742.697  9.588 0.017  8.265 0.014  7.647 0.017
  8 AS VUL    2454746.672  9.595 0.017  8.259 0.014  7.653 0.017
  8 AS VUL    2454748.599  9.610 0.017  8.264 0.014  7.690 0.017
  8 AS VUL    2454754.592  9.569 0.017  8.241 0.014  7.685 0.017
  8 AS VUL    2454755.625  9.560 0.017  8.219 0.014  7.642 0.017
  8 AS VUL    2454757.570  9.571 0.017  8.246 0.014  7.645 0.017
  8 AS VUL    2454767.703  9.544 0.017  8.219 0.014  7.641 0.017
110 AY SGR    2454574.984 11.343 0.044 10.130 0.028  9.478 0.033
110 AY SGR    2454577.975 11.408 0.046 10.141 0.029  9.426 0.032
110 AY SGR    2454584.974 11.324 0.043 10.134 0.029  9.401 0.031
110 AY SGR    2454586.932 11.340 0.044 10.111 0.028  9.395 0.031
110 AY SGR    2454611.913 11.229 0.040 10.051 0.027  9.359 0.030
110 AY SGR    2454616.908 11.272 0.042 10.004 0.026  9.342 0.030
110 AY SGR    2454619.905 11.166 0.039 10.043 0.027  9.380 0.031
110 AY SGR    2454624.860 11.164 0.039  9.954 0.026  9.342 0.030
110 AY SGR    2454629.835 11.089 0.037  9.901 0.025  9.290 0.029
110 AY SGR    2454643.789 10.931 0.033  9.830 0.024  9.232 0.028
110 AY SGR    2454660.753 10.798 0.031  9.593 0.021  8.947 0.025
110 AY SGR    2454661.785 10.813 0.031  9.575 0.021  9.010 0.026
110 AY SGR    2454667.758 10.848 0.032  9.534 0.021  8.944 0.025
