0.000000  1.198757 -0.740379 -0.809953   152.721050 0.158203 10.232825 9.185553 8.589131 8.034060 -0.018530 -0.034460 -0.038351 0.011624 -0.007629 -0.022876 -0.034573 -0.038374 0.125455 0.054863 0.020863 0.002657 0.041914 0.077301 0.040548 0.015493 -0.001371 0.045646 0.106612 0.137107 0.145891 0.162982 8.662680 -2.349415 -2.349415 -2.349415 -2.349415 -0.040923 -0.034482 -0.036075 -0.041969
0.005000  1.193395 -0.770529 -1.335669   251.809367 0.167976 10.239949 9.190646 8.593380 8.037533 -0.015954 -0.032532 -0.036582 0.015428 -0.004609 -0.020477 -0.032651 -0.036606 0.133895 0.060427 0.025043 0.006096 0.046951 0.083780 0.045530 0.019454 0.001904 0.050835 0.114284 0.146021 0.155163 0.172950 8.666930 -2.441758 -2.441758 -2.441758 -2.441758 -0.039259 -0.032556 -0.034214 -0.040348
0.010000  1.185394 -0.799674 -1.865275   351.574741 0.177597 10.247008 9.195743 8.597661 8.041063 -0.013290 -0.030496 -0.034699 0.019278 -0.001516 -0.017985 -0.030619 -0.034724 0.142226 0.065980 0.029258 0.009594 0.051994 0.090215 0.050519 0.023457 0.005243 0.056025 0.121874 0.154811 0.164299 0.182758 8.671211 -2.530852 -2.530852 -2.530852 -2.530852 -0.037477 -0.030521 -0.032241 -0.038607
0.015000  1.174741 -0.827796 -2.395653   451.406303 0.187060 10.254000 9.200841 8.601971 8.044650 -0.010540 -0.028351 -0.032702 0.023174 0.001648 -0.015400 -0.028478 -0.032727 0.150445 0.071518 0.033504 0.013149 0.057040 0.096605 0.055513 0.027499 0.008645 0.061213 0.129378 0.163473 0.173294 0.192403 8.675522 -2.616635 -2.616635 -2.616635 -2.616635 -0.035577 -0.028376 -0.030157 -0.036747
0.020000  1.161441 -0.854877 -2.923615   550.681452 0.196359 10.260920 9.205937 8.606309 8.048291 -0.007705 -0.026098 -0.030592 0.027112 0.004882 -0.012723 -0.026230 -0.030618 0.158547 0.077037 0.037780 0.016759 0.062086 0.102946 0.060509 0.031579 0.012108 0.066395 0.136790 0.172001 0.182144 0.201878 8.679861 -2.699059 -2.699059 -2.699059 -2.699059 -0.033561 -0.026125 -0.027964 -0.034770
0.025000  1.145514 -0.880906 -3.445938   648.771612 0.205491 10.267764 9.211028 8.610671 8.051984 -0.004786 -0.023740 -0.028370 0.031090 0.008184 -0.009958 -0.023875 -0.028397 0.166528 0.082536 0.042084 0.020422 0.067129 0.109234 0.065505 0.035693 0.015630 0.071570 0.144108 0.180391 0.190843 0.211177 8.684224 -2.778086 -2.778086 -2.778086 -2.778086 -0.031430 -0.023767 -0.025662 -0.032675
0.030000  1.126997 -0.905873 -3.959384   745.048096 0.214449 10.274528 9.216111 8.615055 8.055726 -0.001788 -0.021278 -0.026040 0.035106 0.011550 -0.007106 -0.021418 -0.026068 0.174382 0.088010 0.046410 0.024135 0.072166 0.115464 0.070496 0.039839 0.019207 0.076733 0.151327 0.188638 0.199386 0.220297 8.688609 -2.853689 -2.853689 -2.853689 -2.853689 -0.029186 -0.021306 -0.023255 -0.030467
0.035000  1.105941 -0.929772 -4.460732   838.887989 0.223229 10.281208 9.221181 8.619456 8.059512 0.001287 -0.018718 -0.023605 0.039154 0.014977 -0.004171 -0.018861 -0.023633 0.182105 0.093454 0.050757 0.027894 0.077192 0.121632 0.075478 0.044012 0.022836 0.081879 0.158441 0.196737 0.207768 0.229231 8.693010 -2.925852 -2.925852 -2.925852 -2.925852 -0.026834 -0.018746 -0.020747 -0.028149
0.040000  1.082415 -0.952599 -4.946806   929.680008 0.231825 10.287798 9.226234 8.623870 8.063338 0.004434 -0.016062 -0.021069 0.043231 0.018460 -0.001158 -0.016208 -0.021098 0.189691 0.098863 0.055119 0.031694 0.082203 0.127734 0.080446 0.048208 0.026512 0.087005 0.165447 0.204682 0.215984 0.237974 8.697425 -2.994569 -2.994569 -2.994569 -2.994569 -0.024377 -0.016091 -0.018141 -0.025724
0.045000  1.056503 -0.974353 -5.414501   1016.830249 0.240232 10.294293 9.231264 8.628290 8.067199 0.007648 -0.013316 -0.018437 0.047331 0.021994 0.001928 -0.013466 -0.018467 0.197135 0.104234 0.059490 0.035531 0.087193 0.133763 0.085396 0.052422 0.030230 0.092104 0.172338 0.212469 0.224030 0.246521 8.701846 -3.059845 -3.059845 -3.059845 -3.059845 -0.021822 -0.013346 -0.015442 -0.023199
