45383.734000 0.046628 64.000000 63.403205 3.800000   7.553e-01 -1.205e+00 -4.567e-01
45384.668000 0.077652 68.300000 63.511908 3.800000   7.165e-01 -1.237e+00 -5.173e-01
45386.719000 0.145778 71.000000 66.850658 3.800000   6.018e-01 -2.066e+00 -7.647e-01
45387.676000 0.177565 77.700000 67.909831 3.800000   5.338e-01 -2.343e+00 -7.546e-01
45388.746000 0.213107 67.900000 74.704462 3.800000   4.241e-01 -4.063e+00 -7.750e-01
45389.672000 0.243865 79.700000 80.949230 3.800000   2.715e-01 -5.721e+00 -7.527e-01
45004.785000 0.459450 82.700000 76.301583 3.800000   -1.109e+00 -5.393e+00 2.472e-01
45005.766000 0.492035 71.900000 77.621670 3.800000   -1.309e+00 -5.934e+00 9.261e-01
44946.941000 0.538102 43.400000 44.625571 3.800000   -1.376e+00 4.260e+00 1.437e+00
44948.906000 0.603372 30.400000 33.582902 3.800000   -8.965e-01 7.245e+00 1.172e+00
44949.914000 0.636854 27.700000 27.453584 3.800000   -6.376e-01 8.753e+00 1.001e+00
50501.781000 0.047784 63.100000 63.467177 1.000000   7.539e-01 -1.221e+00 -4.559e-01
50527.578000 0.904658 77.580000 65.717057 1.000000   7.824e-01 -1.751e+00 -2.585e-01
