XX CAR    10 57 09.2 -65 08 05   9.89  8.67  DCEP      15.71624
XZ CAR    11 04 13.5 -60 58 48   9.13  8.05  DCEP      16.6499
YZ CAR    10 28 16.8 -59 21 01   9.08  8.24  DCEP      18.1631
AQ CAR    10 21 23.0 -61 04 27   9.15  8.55  DCEP       9.76896
CC CAR    10 54 27.0 -61 20 49  12.83 11.71  DCEP       4.75995
CF CAR    10 59 05.1 -60 16 44  13.8  13.1   DCEP       5.4949
CN CAR    10 15 32.9 -58 10 28  11.00 10.24  DCEP       4.93261
CQ CAR    10 31 20.2 -59 58 49  14.9  14.3   DCEP       5.318934
CR CAR    10 32 54.0 -58 31 16  11.89 11.30  DCEP       9.76094
CS CAR    10 34 37.2 -58 01 23  13.9  13.0   DCEP       6.66234
CT CAR    10 36 55.8 -61 34 53  12.82 11.70  DCEP      18.0565
CY CAR    10 57 50.7 -60 44 32  10.05  9.44  DCEP       4.26593
DY CAR    10 52 32.8 -60 31 36  11.76 10.91  DCEP       4.67461
ER CAR    11 09 41.1 -58 50 16   7.13  6.58  DCEP       7.71855
EY CAR    10 42 23.0 -61 09 57  10.68 10.00  DCEP       2.87598
FF CAR    10 44 54.1 -58 17 53  14.2  13.2   DCEP      16.3285
FI CAR    10 51 01.8 -58 35 26  11.92 11.34  DCEP      13.4582
FK CAR    10 53 56.4 -59 57 53  14.4  13.    DCEP      23.254
FM CAR    11 00 25.1 -60 59 36  14.1  13.    DCEP       7.63861
FN CAR    11 01 14.4 -60 07 00  11.85 11.16  DCEP       4.58569
FO CAR    11 01 30.7 -62 17 27  11.11 10.51  DCEP      10.3568
FQ CAR    11 10 12.8 -60 50 51  14.0  12.8   DCEP      10.27399
FZ CAR    10 54 01.8 -59 11 59  12.12 11.72  DCEPS      3.57792
GH CAR    11 10 44.6 -60 45 01   9.35  9.00  DCEPS      5.72557
GI CAR    11 14 00.0 -57 54 39   8.47  8.10  DCEPS      4.43061
GS CAR    10 51 54.2 -61 28 02  14.1  12.8   DCEP       4.05515
GT CAR    10 59 26.1 -59 29 11  13.19 11.57  DCEP      13.1620
GX CAR    09 55 26.2 -58 25 47   9.77  8.94  DCEP       7.19673
GZ CAR    10 20 20.4 -59 22 36  10.47  9.98  DCEPS(B)   4.15901
HK CAR    11 03 45.2 -60 38 32  11.60 10.71  DCEP       6.69574
HQ CAR    10 20 32.0 -61 14 58  13.02 11.84  DCEP      14.0722
HS CAR    10 24 34.2 -59 32 09  13.9  12.7   DCEP       5.092090
HW CAR    10 39 20.3 -61 09 09   9.8   9.0   DCEP       9.2002
II CAR    10 48 49.1 -60 03 47  14.9  14.0   DCEP      64.24
IK CAR    10 48 57.6 -64 10 27  15.0  14.1   DCEP       5.10179
IM CAR    10 55 09.2 -60 32 52  13.8  12.9   DCEP       5.33625
IO CAR    10 56 26.2 -60 43 58  12.56 11.81  CEP       13.606
IP CAR    11 01 28.4 -64 17 27  15.   14.    DCEP       7.1225
IT CAR    11 12 10.1 -61 45 18   8.29  7.90  DCEP       7.53320
V382 CAR  11 08 35.4 -58 58 30   4.02  3.84  DCEP:
V397 CAR  10 00 03.7 -66 16 34   8.44  8.21  DCEPS
L CAR     09 45 14.8 -62 30 28   4.18  3.28  DCEP      35.53584
RS CAS    23 37 16.1 +62 25 44  10.36  9.53  DCEP       6.295983
RW CAS    01 37 14.0 +57 45 33   9.76  8.62  DCEP      14.7949
RY CAS    23 52 07.0 +58 44 30  10.39  9.38  DCEP      12.13726
SU CAS    02 51 58.8 +68 53 19   6.18  5.70  DCEPS      1.949319
SW CAS    23 07 10.1 +58 33 15  10.01  9.32  DCEP       5.440950
SY CAS    00 15 09.8 +58 25 27  10.24  9.40  DCEP       4.071098
SZ CAS    02 27 13.8 +59 27 38  10.02  9.60  DCEPS     13.63289
TU CAS    00 26 19.4 +51 16 49   8.18  6.88  CEP(B)     2.139298
UZ CAS    01 12 41.2 +61 12 48  11.73 10.93  DCEP       4.259459
