3 150 53014.5419  9.370 -10.000 577 HW_Car
5 150 53014.5419  8.167 -10.000 577 HW_Car
3 150 53016.4535  9.195 -10.000 577 HW_Car
5 150 53016.4535  8.073 -10.000 577 HW_Car
3 150 53016.5154  9.171 -10.000 577 HW_Car
5 150 53016.5154  8.047 -10.000 577 HW_Car
3 150 53018.4879  9.054 -10.000 577 HW_Car
5 150 53018.4879  7.991 -10.000 577 HW_Car
3 150 53020.3703  9.042 -10.000 577 HW_Car
5 150 53020.3703  7.929 -10.000 577 HW_Car
3 150 53020.4651  9.044 -10.000 577 HW_Car
5 150 53020.4651  7.968 -10.000 577 HW_Car
3 150 53020.5538  9.050 -10.000 577 HW_Car
5 150 53020.5538  7.969 -10.000 577 HW_Car
3 150 53021.3490  9.132 -10.000 577 HW_Car
5 150 53021.3490  8.004 -10.000 577 HW_Car
3 150 53021.4765  9.145 -10.000 577 HW_Car
5 150 53021.4765  8.014 -10.000 577 HW_Car
3 150 53022.5084  9.259 -10.000 577 HW_Car
5 150 53022.5084  8.093 -10.000 577 HW_Car
3 150 53023.4503  9.340 -10.000 577 HW_Car
5 150 53023.4503  8.162 -10.000 577 HW_Car
3 150 53023.5251  9.343 -10.000 577 HW_Car
5 150 53023.5251  8.166 -10.000 577 HW_Car
3 150 53024.4421  9.359 -10.000 577 HW_Car
5 150 53024.4421  8.192 -10.000 577 HW_Car
3 150 50379.8226  8.986 -10.000 577 HW_Car
2 150 50379.8226  9.956 -10.000 577 HW_Car
5 150 50379.8226  7.933 -10.000 577 HW_Car
3 150 50380.8385  9.081 -10.000 577 HW_Car
2 150 50380.8385 10.095 -10.000 577 HW_Car
5 150 50380.8385  7.948 -10.000 577 HW_Car
3 150 50381.8124  9.177 -10.000 577 HW_Car
2 150 50381.8124 10.278 -10.000 577 HW_Car
5 150 50381.8124  8.024 -10.000 577 HW_Car
3 150 50383.8135  9.272 -10.000 577 HW_Car
2 150 50383.8135 10.379 -10.000 577 HW_Car
5 150 50383.8135  8.107 -10.000 577 HW_Car
3 150 50384.7967  9.217 -10.000 577 HW_Car
5 150 50384.7967  8.073 -10.000 577 HW_Car
3 150 50386.7936  9.040 -10.000 577 HW_Car
5 150 50386.7936  7.987 -10.000 577 HW_Car
3 150 50387.7979  8.971 -10.000 577 HW_Car
2 150 50387.7979  9.894 -10.000 577 HW_Car
5 150 50387.7979  7.914 -10.000 577 HW_Car
3 150 50388.7877  8.963 -10.000 577 HW_Car
2 150 50388.7877  9.923 -10.000 577 HW_Car
5 150 50388.7877  7.893 -10.000 577 HW_Car
3 150 50390.7922  9.127 -10.000 577 HW_Car
2 150 50390.7922 10.224 -10.000 577 HW_Car
5 150 50390.7922  7.988 -10.000 577 HW_Car
3 150 50391.7797  9.253 -10.000 577 HW_Car
5 150 50391.7797  8.083 -10.000 577 HW_Car
3 150 50392.7831  9.284 -10.000 577 HW_Car
2 150 50392.7831 10.419 -10.000 577 HW_Car
5 150 50392.7831  8.116 -10.000 577 HW_Car
3 150 50393.7845  9.241 -10.000 577 HW_Car
2 150 50393.7845 10.306 -10.000 577 HW_Car
5 150 50393.7845  8.079 -10.000 577 HW_Car
3 150 50394.7777  9.138 -10.000 577 HW_Car
2 150 50394.7777 10.116 -10.000 577 HW_Car
5 150 50394.7777  8.019 -10.000 577 HW_Car
3 150 50568.3704  9.279 -10.000 577 HW_Car
4 150 50568.3704  8.675 -10.000 577 HW_Car
5 150 50568.3704  8.112 -10.000 577 HW_Car
3 150 50570.3169  9.100 -10.000 577 HW_Car
4 150 50570.3169  8.547 -10.000 577 HW_Car
5 150 50570.3169  8.036 -10.000 577 HW_Car
3 150 50571.2940  9.036 -10.000 577 HW_Car
4 150 50571.2940  8.479 -10.000 577 HW_Car
5 150 50571.2940  7.970 -10.000 577 HW_Car
3 150 50572.2913  8.989 -10.000 577 HW_Car
4 150 50572.2913  8.438 -10.000 577 HW_Car
5 150 50572.2913  7.914 -10.000 577 HW_Car
3 150 50573.2945  9.002 -10.000 577 HW_Car
4 150 50573.2945  8.451 -10.000 577 HW_Car
5 150 50573.2945  7.926 -10.000 577 HW_Car
3 150 50574.4236  9.117 -10.000 577 HW_Car
4 150 50574.4236  8.540 -10.000 577 HW_Car
5 150 50574.4236  7.995 -10.000 577 HW_Car
3 150 50575.2903  9.217 -10.000 577 HW_Car
4 150 50575.2903  8.618 -10.000 577 HW_Car
5 150 50575.2903  8.052 -10.000 577 HW_Car
3 150 50575.3970  9.221 -10.000 577 HW_Car
4 150 50575.3970  8.622 -10.000 577 HW_Car
5 150 50575.3970  8.055 -10.000 577 HW_Car
3 150 50576.2952  9.310 -10.000 577 HW_Car
4 150 50576.2952  8.707 -10.000 577 HW_Car
5 150 50576.2952  8.120 -10.000 577 HW_Car
3 150 50576.3821  9.306 -10.000 577 HW_Car
4 150 50576.3821  8.690 -10.000 577 HW_Car
5 150 50576.3821  8.135 -10.000 577 HW_Car
3 150 50577.3851  9.335 -10.000 577 HW_Car
4 150 50577.3851  8.742 -10.000 577 HW_Car
5 150 50577.3851  8.186 -10.000 577 HW_Car
3 150 50578.2757  9.215 -10.000 577 HW_Car
4 150 50578.2757  8.622 -10.000 577 HW_Car
5 150 50578.2757  8.071 -10.000 577 HW_Car
3 150 50578.3173  9.208 -10.000 577 HW_Car
4 150 50578.3173  8.629 -10.000 577 HW_Car
5 150 50578.3173  8.073 -10.000 577 HW_Car
3 150 50580.3014  9.051 -10.000 577 HW_Car
4 150 50580.3014  8.511 -10.000 577 HW_Car
5 150 50580.3014  7.996 -10.000 577 HW_Car
