VX CMa    55550.3982 B  16.075
VX CMa    55550.3989 V  14.996
VX CMa    55550.3996 Ic 13.608
VX CMa    55551.4143 Ic 13.924
VX CMa    55552.5136 B  16.179
VX CMa    55552.5143 V  15.088
VX CMa    55552.5148 Ic 13.656
VX CMa    55552.5156 B  16.197
VX CMa    55554.4965 B  16.115
VX CMa    55554.4972 V  15.028
VX CMa    55554.4976 Ic 13.638
VX CMa    55555.3381 V  15.557
VX CMa    55555.3386 Ic 13.922
VX CMa    55557.3251 B  16.757
VX CMa    55557.3260 V  15.514
VX CMa    55557.3264 Ic 13.941
VX CMa    55557.5501 B  16.781
VX CMa    55557.5509 V  15.535
VX CMa    55557.5514 Ic 13.970
VX CMa    55558.3760 B  15.721
VX CMa    55558.3768 V  14.781
VX CMa    55558.3773 Ic 13.491
VX CMa    55559.4274 B  16.779
VX CMa    55559.4283 V  15.526
VX CMa    55559.4289 Ic 13.935
VX CMa    55560.3085 B  15.466
VX CMa    55560.3093 V  14.539
VX CMa    55560.3098 Ic 13.360
VX CMa    55563.4283 B  16.778
VX CMa    55563.4292 V  15.534
VX CMa    55563.4296 Ic 13.932
VX CMa    55566.3938 B  15.374
VX CMa    55566.3946 V  14.505
VX CMa    55566.3955 B  15.384
VX CMa    55566.3962 V  14.512
VX CMa    55566.3967 Ic 13.333
VX CMa    55566.3974 B  15.367
VX CMa    55567.2865 B  16.629
VX CMa    55567.2873 V  15.452
VX CMa    55567.2878 Ic 13.841
VX CMa    55567.4144 B  16.728
VX CMa    55567.4154 V  15.497
VX CMa    55567.4160 Ic 13.912
VX CMa    55568.2928 B  15.693
VX CMa    55568.2934 V  14.696
VX CMa    55568.2938 Ic 13.508
VX CMa    55568.3092 B  15.502
VX CMa    55568.3098 V  14.568
VX CMa    55568.3102 Ic 13.391
VX CMa    55568.3258 B  15.337
VX CMa    55568.3262 V  14.491
VX CMa    55568.3267 Ic 13.311
VX CMa    55568.3482 B  15.245
VX CMa    55568.3487 V  14.451
VX CMa    55568.3490 Ic 13.263
VX CMa    55568.3494 V  14.422
VX CMa    55568.3671 B  15.273
VX CMa    55568.3676 V  14.443
VX CMa    55568.3680 Ic 13.299
VX CMa    55568.3897 B  15.277
VX CMa    55568.3902 V  14.435
VX CMa    55568.3906 Ic 13.278
VX CMa    55568.4172 B  15.333
VX CMa    55568.4177 V  14.466
VX CMa    55568.4180 Ic 13.303
VX CMa    55568.4189 B  15.326
VX CMa    55568.4193 V  14.482
VX CMa    55568.4197 Ic 13.301
VX CMa    55568.4731 V  14.575
VX CMa    55568.4734 Ic 13.378
VX CMa    55568.4743 B  15.469
VX CMa    55568.4747 V  14.561
VX CMa    55568.4750 Ic 13.387
VX CMa    55568.5498 B  15.621
VX CMa    55568.5502 V  14.684
VX CMa    55568.5506 Ic 13.402
VX CMa    55570.2876 B  16.276
VX CMa    55570.2884 V  15.159
VX CMa    55570.2889 Ic 13.775
VX CMa    55570.3109 B  15.991
VX CMa    55570.3114 V  14.955
VX CMa    55570.3119 Ic 13.628
VX CMa    55570.3387 B  15.620
VX CMa    55570.3392 V  14.679
VX CMa    55570.3395 Ic 13.434
VX CMa    55570.3400 B  15.595
VX CMa    55570.3404 V  14.672
VX CMa    55572.2846 B  16.549
VX CMa    55572.2855 V  15.415
VX CMa    55572.2861 Ic 13.913
VX CMa    55572.3019 B  16.446
VX CMa    55572.3028 V  15.308
VX CMa    55572.3033 Ic 13.854
VX CMa    55572.3159 B  16.360
VX CMa    55572.3166 V  15.244
VX CMa    55572.3171 Ic 13.798
VX CMa    55572.3342 B  16.207
VX CMa    55572.3349 V  15.156
VX CMa    55572.3353 Ic 13.724
VX CMa    55572.3704 B  15.766
VX CMa    55572.3711 V  14.814
VX CMa    55572.3717 Ic 13.534
VX CMa    55574.3098 B  16.673
VX CMa    55574.3108 V  15.456
VX CMa    55574.3115 Ic 13.946
VX CMa    55575.3995 B  16.623
VX CMa    55575.4003 V  15.414
VX CMa    55575.4008 Ic 13.830
VX CMa    55576.2890 B  16.831
VX CMa    55576.2898 V  15.632
VX CMa    55576.2903 Ic 14.060
VX CMa    55576.3351 B  16.754
VX CMa    55576.3360 V  15.543
VX CMa    55576.3365 Ic 14.006
VX CMa    55577.2887 B  16.501
VX CMa    55577.2896 V  15.292
VX CMa    55577.2899 Ic 13.792
VX CMa    55577.2909 B  16.511
VX CMa    55577.2918 V  15.305
VX CMa    55577.2923 Ic 13.786
VX CMa    55577.3727 B  16.532
VX CMa    55577.3734 V  15.363
VX CMa    55577.3739 Ic 13.822
VX CMa    55578.2960 B  16.848
VX CMa    55578.2969 V  15.654
VX CMa    55578.2974 Ic 14.052
VX CMa    55579.2874 B  16.435
VX CMa    55579.2880 V  15.269
VX CMa    55579.2889 V  15.270
VX CMa    55579.2904 V  15.251
VX CMa    55579.2909 Ic 13.743
VX CMa    55579.2919 B  16.436
VX CMa    55580.3149 B  16.887
VX CMa    55580.3158 V  15.654
VX CMa    55580.3162 Ic 14.069
VX CMa    55580.3171 Ic 14.077
VX CMa    55580.3180 B  16.841
VX CMa    55581.2930 B  16.405
VX CMa    55581.2938 V  15.246
VX CMa    55581.2943 Ic 13.735
VX CMa    55581.2955 B  16.374
VX CMa    55584.2889 B  16.877
VX CMa    55584.2907 V  15.618
VX CMa    55584.2919 Ic 14.035
VX CMa    55584.3250 B  16.923
VX CMa    55584.3265 V  15.616
VX CMa    55584.3273 Ic 14.054
VX CMa    55584.3761 B  16.913
VX CMa    55584.3777 V  15.662
VX CMa    55584.3784 Ic 14.062
