28 1000    57052.789       7.61289     -10.000      19          xz_car_0000   
28 1000    56203.867       9.07431     -10.000      105          z_sct_0000    
28 1000    56203.873       9.07278     -10.000      105          z_sct_0000    
28 1000    56385.874       8.75448     -10.000      105          z_sct_0000    
28 1000    56385.880       8.75335     -10.000      105          z_sct_0000    
28 1000    56567.423       8.60355     -10.000      105          z_sct_0000    
28 1000    56567.429       8.59746     -10.000      105          z_sct_0000    
28 1000    56748.742       8.68669     -10.000      105          z_sct_0000    
28 1000    56748.747       8.69185     -10.000      105          z_sct_0000    
28 1000    56933.527       9.14943     -10.000      105          z_sct_0000    
28 1000    56933.533       9.13906     -10.000      105          z_sct_0000    
28 1000    56231.297       7.88340     -10.000      88          aq_pup_0000   
28 1000    56231.302       7.88385     -10.000      88          aq_pup_0000   
28 1000    56400.804       7.46170     -10.000      88          aq_pup_0000   
28 1000    56400.810       7.45384     -10.000      88          aq_pup_0000   
28 1000    56598.746       8.10468     -10.000      88          aq_pup_0000   
28 1000    56598.752       8.09955     -10.000      88          aq_pup_0000   
28 1000    56764.378       7.49825     -10.000      88          aq_pup_0000   
28 1000    56764.383       7.49675     -10.000      88          aq_pup_0000   
28 1000    56962.825       8.13619     -10.000      88          aq_pup_0000   
28 1000    56962.830       8.13110     -10.000      88          aq_pup_0000  
